S11 dB20 X,S11 dB20 Y,S21 dB20 X,S21 dB20 Y
1000000000,-53.91682244957832,1000000000,-0.007232265579264585
1990000000,-48.52518770132217,1990000000,-0.007360506304559176
2980000000,-45.13711038118444,2980000000,-0.007573653220455138
3970000000,-42.68860828344405,3970000000,-0.007871682809956393
4960000000,-40.77521443276495,4960000000,-0.008254562195552002
5950000000,-39.20603136836159,5950000000,-0.008722249149859123
6940000000,-37.87653651601445,6940000000,-0.009274692110945327
7930000000,-36.72344432358722,7930000000,-0.009911830192384776
8920000000,-35.70557715670513,8920000000,-0.01063359320763957
9910000000,-34.79465698466689,9910000000,-0.01143990168450312
10900000000,-33.97043305072789,10900000000,-0.0123306668961575
11890000000,-33.21790912563036,11890000000,-0.01330579088036045
12880000000,-32.52567177640017,12880000000,-0.01436516647403253
13870000000,-31.88483400901706,13870000000,-0.01550867734403496
14860000000,-31.28834127041819,14860000000,-0.01673619801831383
15850000000,-30.73050030840827,15850000000,-0.01804759392819857
16840000000,-30.20665023534593,16840000000,-0.01944272144601007
17830000000,-29.71292724379216,17830000000,-0.02092142792493339
18820000000,-29.24609271322206,18820000000,-0.02248355175032375
19810000000,-28.80340526763825,19810000000,-0.0241289223816569
20800000000,-28.38252395895226,20800000000,-0.02585736040627123
21790000000,-27.98143391347394,21790000000,-0.02766867759060094
22780000000,-27.59838846620681,22780000000,-0.02956267693546078
23770000000,-27.2318635828707,23770000000,-0.03153915273489206
24760000000,-26.88052156671603,24760000000,-0.03359789063556309
25750000000,-26.54318186970706,25750000000,-0.03573866769733906
26740000000,-26.2187974024331,26740000000,-0.03796125246317432
27730000000,-25.90643514503206,27730000000,-0.04026540502164013
28720000000,-25.60526015507111,28720000000,-0.04265087707679357
29710000000,-25.31452228249104,29710000000,-0.04511741202288649
30700000000,-25.03354505980985,30700000000,-0.04766474501560035
31690000000,-24.76171635379014,31690000000,-0.05029260304838697
32680000000,-24.49848045377507,32680000000,-0.05300070503217533
33670000000,-24.24333133967698,33670000000,-0.05578876187282587
34660000000,-23.99580692468826,34660000000,-0.05865647655567098
35650000000,-23.75548410814378,35650000000,-0.06160354422927055
36640000000,-23.52197450549194,36640000000,-0.06462965229075339
37630000000,-23.29492074713969,37630000000,-0.06773448047341003
38620000000,-23.07399325759562,38620000000,-0.07091770093877273
39610000000,-22.85888744201777,39610000000,-0.07417897836629238
40600000000,-22.64932121985959,40600000000,-0.07751797004586616
41590000000,-22.44503285547127,41590000000,-0.0809343259751264
42580000000,-22.24577904376502,42580000000,-0.08442768895414997
43570000000,-22.05133321578882,43570000000,-0.08799769468515334
44560000000,-21.86148403457906,44560000000,-0.09164397187069875
45550000000,-21.67603405621729,45550000000,-0.09536614231676227
46540000000,-21.49479853478844,46540000000,-0.09916382103193026
47530000000,-21.31760435307478,47530000000,-0.1030366163363127
48520000000,-21.14428906344028,48520000000,-0.106984129963363
49510000000,-20.97470002555717,49510000000,-0.1110059571660735
50500000000,-20.80869362947455,50500000000,-0.1151016868269802
51490000000,-20.64613459409247,51490000000,-0.1192709015651279
52480000000,-20.48689533242792,52480000000,-0.1235131778472186
53470000000,-20.33085537618618,53470000000,-0.127828086098235
54460000000,-20.17790085311159,54460000000,-0.1322151908141635
55450000000,-20.02792401141508,55450000000,-0.1366740506727386
56440000000,-19.88082278628078,56440000000,-0.1412042186490313
57430000000,-19.73650040406346,57430000000,-0.14580524213128
58420000000,-19.5948650203131,58420000000,-0.150476663032843
59410000000,-19.45582938821588,59410000000,-0.1552180179109435
60400000000,-19.31931055443735,60400000000,-0.1600288380830399
61390000000,-19.18522957969519,61390000000,-0.1649086497430329
62380000000,-19.05351128168809,62380000000,-0.1698569740806797
63370000000,-18.92408399827005,63370000000,-0.1748733273981177
64360000000,-18.7968793689862,64360000000,-0.1799572212312697
65350000000,-18.67183213329032,65350000000,-0.1851081624664661
66340000000,-18.54887994393807,66340000000,-0.1903256534622501
67330000000,-18.42796319420865,67330000000,-0.1956091921661822
68320000000,-18.30902485774273,68320000000,-0.2009582722382796
69310000000,-18.19201033990895,69310000000,-0.2063723831693627
70300000000,-18.07686733971763,70300000000,-0.2118510104021775
71290000000,-17.96354572139693,71290000000,-0.2173936354507177
72280000000,-17.85199739483174,72280000000,-0.222999736021788
73270000000,-17.74217620414252,73270000000,-0.2286687861354628
74260000000,-17.63403782374844,74260000000,-0.2344002562435984
75250000000,-17.52753966131932,75250000000,-0.240193613354506
76240000000,-17.42264076707866,76240000000,-0.2460483211468046
77230000000,-17.31930174896247,77230000000,-0.2519638400944119
78220000000,-17.21748469318973,78220000000,-0.2579396275839995
79210000000,-17.1171530898342,79210000000,-0.2639751380349848
80200000000,-17.01827176302575,80200000000,-0.2700698230167146
81190000000,-16.92080680543907,81190000000,-0.2762231313714323
82180000000,-16.82472551676082,82180000000,-0.2824345093258318
83170000000,-16.72999634584512,83170000000,-0.2887034006153022
84160000000,-16.63658883629989,84160000000,-0.295029246596362
85150000000,-16.54447357525951,85150000000,-0.301411486366869
86140000000,-16.45362214512626,86140000000,-0.3078495568773586
87130000000,-16.36400707807275,87130000000,-0.314342893052888
88120000000,-16.27560181312304,88120000000,-0.3208909279016735
89110000000,-16.18838065563509,89110000000,-0.3274930926322626
90100000000,-16.10231873902811,90100000000,-0.3341488167657229
91090000000,-16.01739198860621,91090000000,-0.3408575282493166
92080000000,-15.93357708734283,92080000000,-0.3476186535672932
93070000000,-15.85085144350055,93070000000,-0.3544316178507956
94060000000,-15.76919315996794,94060000000,-0.3612958449898928
95050000000,-15.68858100520768,95050000000,-0.368210757741201
96040000000,-15.6089943857145,96040000000,-0.3751757778360869
97030000000,-15.53041331988969,97030000000,-0.3821903260888156
98020000000,-15.4528184132468,98020000000,-0.3892538225020586
99010000000,-15.37619083486784,99010000000,-0.3963656863709681
100000000000,-15.30051229503426,100000000000,-0.4035253363894372
