S11 dB20 X,S11 dB20 Y,S21 dB20 X,S21 dB20 Y,S31 dB20 X,S31 dB20 Y,S41 dB20 X,S41 dB20 Y
1000000000,-53.91682244957832,1000000000,-0.007232265579264585,1000000000,-54.8260254781064,1000000000,-54.82602512037006
1990000000,-48.52518770132217,1990000000,-0.007360506304559176,1990000000,-48.84914955232468,1990000000,-48.84914813565098
2980000000,-45.13711038118444,2980000000,-0.007573653220455138,2980000000,-45.34219429141039,2980000000,-45.34219111455659
3970000000,-42.68860828344405,3970000000,-0.007871682809956393,3970000000,-42.85114079431352,3970000000,-42.85113515602696
4960000000,-40.77521443276495,4960000000,-0.008254562195552002,4960000000,-40.91787158459161,4960000000,-40.91786278360581
5950000000,-39.20603136836159,5950000000,-0.008722249149859123,5950000000,-39.33784276652755,5950000000,-39.33783010155826
6940000000,-37.87653651601445,6940000000,-0.009274692110945327,6940000000,-38.00179236405862,6940000000,-38.0017751337998
7930000000,-36.72344432358722,7930000000,-0.009911830192384776,7930000000,-36.84444037745658,7930000000,-36.84441788057654
8920000000,-35.70557715670513,8920000000,-0.01063359320763957,8920000000,-35.82365196857955,8920000000,-35.82362350371697
9910000000,-34.79465698466689,9910000000,-0.01143990168450312,9910000000,-34.91064339318685,9910000000,-34.91060825894684
10900000000,-33.97043305072789,10900000000,-0.0123306668961575,10900000000,-34.08487634807231,10900000000,-34.08483384302247
11890000000,-33.21790912563036,11890000000,-0.01330579088036045,11890000000,-33.33118132827457,11890000000,-33.33113075094101
12880000000,-32.52567177640017,12880000000,-0.01436516647403253,12880000000,-32.63803544617932,12880000000,-32.63797609504278
13870000000,-31.88483400901706,13870000000,-0.01550867734403496,13870000000,-31.99647981584537,13870000000,-31.9964109893372
14860000000,-31.28834127041819,14860000000,-0.01673619801831383,14860000000,-31.39941108649443,14860000000,-31.39933208299266
15850000000,-30.73050030840827,15850000000,-0.01804759392819857,15850000000,-30.84110194098262,15850000000,-30.84101205880805
16840000000,-30.20665023534593,16840000000,-0.01944272144601007,16840000000,-30.3168671276825,16840000000,-30.31676566509471
17830000000,-29.71292724379216,17830000000,-0.02092142792493339,17830000000,-29.82282504068331,17830000000,-29.82271129587671
18820000000,-29.24609271322206,18820000000,-0.02248355175032375,18820000000,-29.35572381259594,18820000000,-29.35559708369584
19810000000,-28.80340526763825,19810000000,-0.0241289223816569,19810000000,-28.91281204371391,19810000000,-28.91267162877256
20800000000,-28.38252395895226,20800000000,-0.02585736040627123,20800000000,-28.49174108820805,20800000000,-28.49158628520067
21790000000,-27.98143391347394,21790000000,-0.02766867759060094,21790000000,-28.09049008180158,21790000000,-28.09032018862242
22780000000,-27.59838846620681,22780000000,-0.02956267693546078,22780000000,-27.70730764113328,22780000000,-27.70712195559165
23770000000,-27.2318635828707,23770000000,-0.03153915273489206,23770000000,-27.34066597483509,23770000000,-27.34046379465145
24760000000,-26.88052156671603,24760000000,-0.03359789063556309,24760000000,-26.98922436457591,24760000000,-26.98900498737783
25750000000,-26.54318186970706,25750000000,-0.03573866769733906,25750000000,-26.65179980999969,25750000000,-26.65156253331796
26740000000,-26.2187974024331,26740000000,-0.03796125246317432,26740000000,-26.32734321463631,26740000000,-26.32708733590094
